35439294.65	0.261955294	-26230433.86	 11.19394214  3.327071529 0.9082503415	 267198539.9 -205115221.3 -8602545.335	
8032483089	0.2643293652	-1.681570773e+10	8.609027904 4.239323471 2.318829233	-4562110551  1508304893  2626700042	
6009902036	0.2631385164	-1.262121354e+10	8.956460645  4.11667319 2.129844739	-3967359001  1298059883  2304713559	
2124400864	0.2625459557	-4566268278	9.819115526  3.81223081  1.65908949	-2350517577 727308672.9  1423114171	
491282385.8	0.262250388	-1116652351	10.47412991 3.581080385 1.301430156	-1105874999 287998465.4 743844732.1	
87611097.65	0.2621027818	-218370190.1	10.83296222 3.454453834 1.105444305	-420051760.5  45854599.85  369393565.6	
17024200.14	0.2620290231	-32738632.75	11.01417434 3.390507577 1.006457312	-72378398.91 -77165646.69  179250729.6	
13181591.02	0.2620680563	-10515996.6	 11.06659688  3.372179533 0.9749496346	31289435.41  -108447912 104498690.7	
12886253.12	0.2620900826	-10621180.57	  11.0632835  3.373490081 0.9743841416	 25761718.64 -106254600.9  103525898.7	
12609801.84	0.2621121116	-10770039.98	 11.05994352  3.374811556 0.9738073645	 20192336.19 -104044134.1  102534737.8	
9879090.683	0.2626276636	-18376104.06	11.00474657 3.398126741 0.939467397	-83480281.64 -59086262.93  46662129.21	
8850626.36	0.2626403458	-10281789.78	 11.02438132  3.390967516 0.9326159385	-38972350.46 -72504590.99  31177194.35	
8434104.824	0.2627981734	-8716510.352	 11.02786948  3.390691246 0.9146683106	-33232948.72 -72979213.24  2529802.537	
8408268.173	0.2628816432	-8202466.688	 11.03013979  3.390089889 0.9100724144	-29529216.88 -73954756.23 -4789996.963	
8410811.555	0.2629193845	-6067465.466	 11.03069387  3.389892945 0.9097949111	 -15415043.2 -77156032.12 -4859041.632	
8407531.459	0.2629005128	-6111429.081	 11.03041683  3.389991416 0.9099336615	-15809133.45 -77019936.93 -4669421.397	
8404940.987	0.2629698533	-8189577.908	 11.03015916  3.390128428 0.9093021731	-29405281.55  -73912846.4 -6015368.855	
8399067.626	0.2631202668	-8215924.228	 11.02995323  3.390234551 0.9088578484	-29573648.37 -73777489.13 -6720293.674	
8393533.313	0.2632708029	-8243087.992	 11.02974645  3.390341032 0.9084133458	-29742591.04 -73641921.88 -7423072.693	
8239741.069	0.2682420192	-9273672.046	 11.02247607  3.393553086 0.9019650048	 -35642036.3 -69804560.39 -16995637.34	
7967659.549	0.2792972315	-11556299.38	11.00645319 3.400263724  0.89594849	   -46219252 -62815559.85 -23680145.77	
7405782.321	0.3087008055	-18823793.84	 10.96721129  3.416898277 0.8900844717	 -70228049.7 -48746985.72 -27111032.02	
1322103.013	0.4991295726	-17018350.71	 10.79319704  3.501102469 0.8763274982	-28804064.56 -11374233.19 -8620107.414	
432331.8407	0.8806132982	30521.99582	 10.61436364  3.603223288 0.8589568841	-6431.927116 -17104.88857 -698.3854201	
432149.0052	0.8737675996	18408.72619	10.61669474 3.601811395 0.859249774	-6627.880368 -17721.31194 -652.8622579	
431790.4332	0.8636870311	2745.202566	 10.62104432  3.613187741 0.8607209028	-6894.113316  -18518.8682 -588.7373003	
430164.7898	0.8360435514	-25446.00063	 10.64732688  3.709071781 0.8806877559	-7424.903058  -19929.9176 -399.0456059	
428106.7646	0.8094047962	-33218.10696	  10.6914292  3.844374698 0.9208984104	-7631.335519 -20242.62193  -170.655779	
2681145.331	0.7590389503	-30886925.23	10.81964164 4.197199159  1.04841606	-4868371.618  18909606.03  3388410.589	
425331.1883	0.7837455829	-23627.0108	 10.75020371  4.010481662 0.9782100657	-7484.930461 -19374.77049  129.9648153	
768408.3474	0.771274935	-19868916.05	10.78385528  4.10191758 1.011985605	-4488719.83 12791768.47 1842508.747	
424521.2388	0.7774807054	-19089.08073	 10.76672926  4.055637933 0.9947299065	-7393.117341 -18974.18214  221.0408348	
539435.6352	0.7743704592	-12568527.66	 10.7752214 4.078647561 1.003270279	-3140564.577  7964831.095  1081048.915	
438544.2683	0.7759237386	-6435410.913	 10.77095709  4.067108924 0.9989776591	-1679968.088  4186837.291  537416.1603	
424416.9456	0.7767017607	-18471.37101	10.76883855 4.061364813 0.996848104	-7380.102487 -18919.00574  232.9491382	
424484.8671	0.7763126344	-5255016.994	 10.76989667  4.064234735 0.9979114706	-1386938.624  3412038.344  433555.7917	
431762.5585	0.8651444922	5179.925388	 10.62076832  3.615162271 0.8608505403	-6851.122802 -18382.08686 -597.7727872	
428839.9739	0.8193423645	-32372.43588	  10.6742788  3.794527751 0.9050725939	-7584.807332 -20228.00225 -258.1986994	
426855.426	0.7974885224	-30660.93477	 10.71779139   3.92064686 0.9464000227	-7602.596168 -19972.08916 -39.46819513	
425673.0821	0.7868168278	-25576.97865	 10.74291086  3.990613025 0.9710308976	 -7518.80675 -19534.11378  90.84507478	
425034.1728	0.7815439201	-22136.37611	10.75618869 4.027012085 0.984209351	-7453.800128 -19238.06728  162.4914122	
424703.1282	0.7789230904	-20211.71735	  10.7629912    4.0455261 0.9909974064	-7415.545036 -19070.89114  200.0959028	
424534.771	0.7776165677	-19200.81924	 10.76643135  4.054856793 0.9944389955	-7394.983394  -18982.5303  219.3633209	
424449.8926	0.7769642776	-18683.54092	  10.7681609  4.059539945 0.9961714109	 -7384.34455 -18937.15867  229.1157983	
423902.7653	0.7849125471	-25229.52247	10.76983279 4.075549763 1.000999335	-7371.957031 -19026.63888  233.9237859	
423301.8923	0.7929566921	-28592.37933	10.77157822 4.091631507 1.005887268	-7316.903205 -18968.05309  226.0540111	
422080.1471	0.8093360913	-25973.82829	10.77528296 4.123986587 1.015833419	-7089.387442 -18442.48628   175.304026	
420469.4314	0.843282795	12267.31576	10.78350039 4.189298837  1.03633968	 -6269.74466 -16109.93723 -37.66464373	
790347.3933	0.8685083689	-21461823.25	10.94617404  4.30013243 1.153589712	-33982.83517  11607538.55  3545734.332	
461688.4955	0.8557909337	-6962576.985	10.86560567 4.241120982 1.094579051	-531364.1487   4009778.62  968474.2606	
419959.2095	0.8495108326	24131.63063	10.82467954 4.214215665 1.065304057	-5936.809507 -15450.05434 -10.47009011	
50578909.7	0.8963561026	-237662484.7	11.55876862  5.08426342 1.661063479	37828141.53 63349731.48 35691006.36	
16206570.55	0.8725836916	-107377795.5	11.31415006 4.621902009 1.427713369	23303976.73 39089264.31 22602082.07	
3114138.989	0.8609605435	-48434629.11	11.10048534 4.390233992 1.258667247	6376280.602 23440528.67 10312051.59	
1069762.421	0.8552141038	-22079478.6	 10.9692806 4.291666159 1.163685764	312821.1173 12104232.88 3907465.524	
551719.4774	0.8523570844	-13500259.3	10.89841829 4.249826753 1.114688891	-792599.4553  7550814.621  1998298.788	
459405.2129	0.8509326141	-6933953.104	10.86187206 4.231184312 1.090012347	-572149.1069  4027810.186  958140.5872	
430739.2805	0.8502213874	-6848731.251	 10.8433516 4.222483627 1.077657881	-693964.2115  3983741.609  881345.5512	
419851.389	0.8498660261	25105.88403	10.83403387 4.218294677  1.07148034	-5890.410718 -15387.49741  4.360273528	
424406.9445	0.8500436857	-6830084.129	 10.8386974 4.220375519 1.074569023	-724667.9266  3973117.829  862083.9035	
421366.807	0.8499548507	-6821162.242	10.83636679 4.219331676 1.073024651	-740056.6676  3967866.136  852444.2344	
